Company,Price,Change
Microsoft Corporation (MSFT),388.47,(+1.00%)
International Business Machines Corporation (IBM),165.80,(+2.24%)
General Electric Company (GE),129.79,(-0.03%)
Union Pacific Corporation (UNP),237.71,(+0.56%)
Costco Wholesale Corporation (COST),683.24,(+1.43%)
McDonald's Corporation (MCD),293.47,(-0.23%)
Visa Inc. (V),264.17,(+0.05%)
Walmart Inc. (WMT),161.32,(+0.13%)
The Walt Disney Company (DIS),90.35,(+1.01%)
3M Company (MMM),108.12,(-0.73%)
Intel Corporation (INTC),47.12,(-1.09%)
American Express Company (AXP),182.04,(-1.62%)
Apple Inc. (AAPL),185.92,(+0.18%)
The Boeing Company (BA),217.70,(-2.23%)
"Cisco Systems, Inc. (CSCO)",50.34,(-0.20%)
"The Goldman Sachs Group, Inc. (GS)",377.75,(-0.53%)
JPMorgan Chase & Co. (JPM),169.05,(-0.73%)
"Salesforce, Inc. (CRM)",271.93,(+0.20%)
Verizon Communications Inc. (VZ),38.56,(+1.74%)
